user_id,first_order_date,last_order_date,order_count,customer_revenue,second_order_date,days_to_second_order,days_since_last_order,repeat_buyer_flag,retained_d7,retained_d14,retained_d30,repeat_purchase_frequency,churn_risk
100013,2025-12-25,2025-12-25,1,2008.3,,,2,0,0,0,0,0.0,Low
100027,2025-11-23,2025-11-23,1,1476.35,,,34,0,0,0,0,0.0,High
100037,2025-07-30,2025-07-30,1,1966.923,,,150,0,0,0,0,0.0,High
100275,2025-12-13,2025-12-13,1,2609.44,,,14,0,0,0,0,0.0,Low
100434,2025-12-11,2025-12-11,1,1610.658,,,16,0,0,0,0,0.0,Medium
100654,2025-12-04,2025-12-04,1,3243.56,,,23,0,0,0,0,0.0,Medium
100837,2025-11-05,2025-11-05,1,2753.757,,,52,0,0,0,0,0.0,High
101006,2025-10-28,2025-10-28,1,1840.74,,,60,0,0,0,0,0.0,High
101049,2025-11-24,2025-11-24,1,1823.56,,,33,0,0,0,0,0.0,High
101051,2025-11-26,2025-11-26,1,1778.83,,,31,0,0,0,0,0.0,High
101132,2025-11-12,2025-11-12,1,549.08,,,45,0,0,0,0,0.0,High
101177,2025-11-08,2025-11-08,1,2441.51,,,49,0,0,0,0,0.0,High
101264,2025-09-21,2025-09-21,1,2121.14,,,97,0,0,0,0,0.0,High
101296,2025-09-12,2025-09-12,1,1761.876,,,106,0,0,0,0,0.0,High
101610,2025-08-14,2025-08-14,1,2980.12,,,135,0,0,0,0,0.0,High
101676,2025-12-14,2025-12-14,1,2038.428,,,13,0,0,0,0,0.0,Low
101745,2025-07-23,2025-07-23,1,2999.313,,,157,0,0,0,0,0.0,High
101791,2025-07-23,2025-07-23,1,1429.245,,,157,0,0,0,0,0.0,High
101832,2025-08-04,2025-08-04,1,1780.09,,,145,0,0,0,0,0.0,High
102007,2025-12-25,2025-12-25,1,1557.57,,,2,0,0,0,0,0.0,Low
102028,2025-11-07,2025-11-07,1,2019.654,,,50,0,0,0,0,0.0,High
102164,2025-08-17,2025-08-17,1,1197.88,,,132,0,0,0,0,0.0,High
102471,2025-09-05,2025-09-05,1,2674.269,,,113,0,0,0,0,0.0,High
102480,2025-07-16,2025-07-16,1,1610.19,,,164,0,0,0,0,0.0,High
102598,2025-11-22,2025-11-22,1,2653.542,,,35,0,0,0,0,0.0,High
102632,2025-10-09,2025-10-09,1,1973.898,,,79,0,0,0,0,0.0,High
102853,2025-07-02,2025-07-02,1,2228.418,,,178,0,0,0,0,0.0,High
102928,2025-11-08,2025-11-08,1,2614.77,,,49,0,0,0,0,0.0,High
102979,2025-07-02,2025-07-02,1,1254.24,,,178,0,0,0,0,0.0,High
103052,2025-10-23,2025-10-23,1,2287.29,,,65,0,0,0,0,0.0,High
103197,2025-12-20,2025-12-20,1,2484.999,,,7,0,0,0,0,0.0,Low
103212,2025-12-14,2025-12-14,1,1576.38,,,13,0,0,0,0,0.0,Low
103244,2025-10-05,2025-10-05,1,2906.01,,,83,0,0,0,0,0.0,High
103300,2025-07-28,2025-07-28,1,1245.519,,,152,0,0,0,0,0.0,High
103303,2025-10-31,2025-10-31,1,2161.99,,,57,0,0,0,0,0.0,High
103468,2025-10-19,2025-10-19,1,2218.31,,,69,0,0,0,0,0.0,High
103625,2025-08-28,2025-08-28,1,1639.098,,,121,0,0,0,0,0.0,High
103914,2025-11-10,2025-11-10,1,2402.7,,,47,0,0,0,0,0.0,High
104017,2025-11-02,2025-11-02,1,2174.39,,,55,0,0,0,0,0.0,High
104156,2025-09-13,2025-09-13,1,2868.64,,,105,0,0,0,0,0.0,High
104310,2025-11-09,2025-11-09,1,2388.033,,,48,0,0,0,0,0.0,High
104398,2025-08-26,2025-08-26,1,2123.739,,,123,0,0,0,0,0.0,High
104693,2025-12-16,2025-12-16,1,1749.204,,,11,0,0,0,0,0.0,Low
104708,2025-11-20,2025-11-20,1,2130.93,,,37,0,0,0,0,0.0,High
104849,2025-08-14,2025-08-14,1,2026.62,,,135,0,0,0,0,0.0,High
105004,2025-07-11,2025-07-11,1,746.541,,,169,0,0,0,0,0.0,High
105179,2025-11-03,2025-11-03,1,1785.807,,,54,0,0,0,0,0.0,High
105196,2025-12-03,2025-12-03,1,1623.744,,,24,0,0,0,0,0.0,Medium
105237,2025-11-28,2025-11-28,1,3271.977,,,29,0,0,0,0,0.0,Medium
105287,2025-09-03,2025-09-03,1,2596.41,,,115,0,0,0,0,0.0,High
105520,2025-09-29,2025-09-29,1,2835.19,,,89,0,0,0,0,0.0,High
105576,2025-07-26,2025-07-26,1,2173.851,,,154,0,0,0,0,0.0,High
105634,2025-07-08,2025-07-08,1,2572.344,,,172,0,0,0,0,0.0,High
105730,2025-12-19,2025-12-19,1,2452.437,,,8,0,0,0,0,0.0,Low
105749,2025-07-22,2025-07-22,1,2978.379,,,158,0,0,0,0,0.0,High
105768,2025-08-28,2025-08-28,1,1759.62,,,121,0,0,0,0,0.0,High
105808,2025-07-31,2025-07-31,1,2048.202,,,149,0,0,0,0,0.0,High
105909,2025-07-07,2025-07-07,1,1718.604,,,173,0,0,0,0,0.0,High
105913,2025-08-22,2025-08-22,1,2205.594,,,127,0,0,0,0,0.0,High
106041,2025-12-19,2025-12-19,1,1925.901,,,8,0,0,0,0,0.0,Low
106082,2025-10-26,2025-10-26,1,991.22,,,62,0,0,0,0,0.0,High
106200,2025-09-26,2025-09-26,1,2224.746,,,92,0,0,0,0,0.0,High
106286,2025-07-08,2025-07-08,1,1188.84,,,172,0,0,0,0,0.0,High
106384,2025-08-11,2025-08-11,1,1492.911,,,138,0,0,0,0,0.0,High
106553,2025-10-06,2025-10-06,1,1565.02,,,82,0,0,0,0,0.0,High
106861,2025-08-07,2025-08-07,1,1076.994,,,142,0,0,0,0,0.0,High
106902,2025-08-11,2025-08-11,1,1808.96,,,138,0,0,0,0,0.0,High
106953,2025-10-30,2025-10-30,1,2184.597,,,58,0,0,0,0,0.0,High
107011,2025-07-10,2025-07-10,1,1596.015,,,170,0,0,0,0,0.0,High
107078,2025-10-25,2025-10-25,1,2946.59,,,63,0,0,0,0,0.0,High
107223,2025-11-16,2025-11-16,1,1281.75,,,41,0,0,0,0,0.0,High
107253,2025-12-02,2025-12-02,1,2355.615,,,25,0,0,0,0,0.0,Medium
107353,2025-12-08,2025-12-08,1,2931.48,,,19,0,0,0,0,0.0,Medium
107385,2025-11-18,2025-11-18,1,1798.14,,,39,0,0,0,0,0.0,High
107408,2025-07-13,2025-07-13,1,555.73,,,167,0,0,0,0,0.0,High
107461,2025-12-02,2025-12-02,1,3317.94,,,25,0,0,0,0,0.0,Medium
107644,2025-11-17,2025-11-17,1,1374.795,,,40,0,0,0,0,0.0,High
107645,2025-11-24,2025-11-24,1,3514.83,,,33,0,0,0,0,0.0,High
107676,2025-09-22,2025-09-22,1,3153.59,,,96,0,0,0,0,0.0,High
107747,2025-11-27,2025-11-27,1,2702.88,,,30,0,0,0,0,0.0,Medium
107838,2025-10-10,2025-10-10,1,1754.32,,,78,0,0,0,0,0.0,High
107877,2025-08-18,2025-08-18,1,2780.325,,,131,0,0,0,0,0.0,High
108370,2025-10-07,2025-10-07,1,2336.031,,,81,0,0,0,0,0.0,High
108993,2025-07-13,2025-07-13,1,1715.26,,,167,0,0,0,0,0.0,High
109070,2025-07-30,2025-07-30,1,2335.51,,,150,0,0,0,0,0.0,High
