dimension,segment,sessions,users,views,carts,checkouts,orders,revenue,discounted_sessions,conversion_rate,view_to_cart_rate,checkout_to_order_rate,aov,wallet_share
campaign_type,Discount,60121,58178,38950,13541,8087,4107,8526583.032,2244,0.06831223698873938,0.34765083440308087,0.5078521083219982,2076.109820306793,0.5010744482393065
campaign_type,New Launch,36064,35358,23497,8150,4907,2448,5122705.322,1315,0.06787932564330079,0.34685278971783634,0.49887915223150603,2092.6083831699343,0.3010416638271598
campaign_type,Influencer,23815,23517,15423,5465,3240,1626,3367310.8,903,0.06827629645181608,0.3543409194060818,0.5018518518518519,2070.9168511685116,0.19788388793353368
channel,Paid Ads,53891,52346,35011,12058,7161,3619,7536147.08,1956,0.06715407025291793,0.34440604381480106,0.5053763440860215,2082.383829787234,0.4428703415881145
channel,Organic,35946,35225,23327,8158,4909,2448,5090708.447,1342,0.06810215322984477,0.3497234963775882,0.4986759014055816,2079.5377642973854,0.2991613307059275
channel,Social,18071,17897,11640,4102,2442,1230,2578443.312,667,0.0680648552930109,0.35240549828178697,0.5036855036855037,2096.295375609756,0.15152518365538975
channel,Email,12092,12019,7892,2838,1722,884,1811300.315,497,0.07310618590803837,0.35960466294982263,0.5133565621370499,2048.9822567873302,0.10644314405056826
device,Mobile,84006,80179,54497,19016,11341,5693,11843632.169,3122,0.06776896888317502,0.34893663871405767,0.5019839520324486,2080.3850639381694,0.6960046518000033
device,Desktop,35994,35285,23373,8140,4893,2488,5172966.985,1340,0.06912263154970273,0.3482650922004022,0.5084815041896587,2079.166794614148,0.3039953481999968
region,Metro,72014,69230,46651,16181,9643,4909,10261018.934,2682,0.06816730080262172,0.34685215751002124,0.5090739396453385,2090.2462688938685,0.6030005667488499
region,Non-Metro,47986,46739,31219,10975,6591,3272,6755580.22,1780,0.06818655441170342,0.35154873634645567,0.49643453193749054,2064.663881418093,0.3969994332511501
user_type,New,77969,74723,50616,17730,10658,5398,11225801.866,2959,0.06923264374302607,0.35028449502133713,0.5064740101332332,2079.6224279362727,0.6596971442064681
user_type,Returning,42031,41062,27254,9426,5576,2783,5790797.288,1503,0.06621303323737242,0.34585748880898215,0.49910329985652796,2080.7751663672293,0.340302855793532
